Date,High,Low,Open,Close
2010-07-29,900280.2783203125,892529.6997070312,892949.6533203125,896881.806640625
2010-07-30,893421.4575195312,879271.6674804688,893421.4575195312,882200.2319335938
2010-08-02,895067.939453125,883269.5825195312,885654.1674804688,885253.6352539062
2010-08-03,901956.3891601562,891039.5825195312,898782.75390625,896695.9033203125
2010-08-04,889214.5141601562,876406.9677734375,888630.87890625,877763.935546875
2010-08-05,896220.4858398438,885993.6352539062,891731.435546875,892987.5927734375
2010-08-06,893368.7036132812,882950.439453125,884360.1611328125,891896.1108398438
2010-08-09,885486.7822265625,880935.7641601562,882034.6533203125,885455.3466796875
2010-08-10,894201.2036132812,879243.935546875,890772.1997070312,883472.1069335938
2010-08-11,873666.2036132812,858732.9638671875,871630.3002929688,859588.5888671875
2010-08-12,852164.560546875,838599.4897460938,844107.8466796875,852164.560546875
2010-08-13,858257.5463867188,847600.625,852369.8852539062,855945.0463867188
2010-08-16,852014.6997070312,841374.4897460938,845932.8247070312,850691.9677734375
2010-08-17,849934.443359375,840292.2216796875,840811.0888671875,847455.37109375
2010-08-18,858454.560546875,846691.3427734375,856688.75,854749.9536132812
2010-08-19,866047.87109375,854962.685546875,854962.685546875,866047.87109375
2010-08-20,859093.75,848148.2177734375,854640.8325195312,849092.6391601562
2010-08-23,848356.3427734375,840913.7963867188,846119.7216796875,843293.8647460938
2010-08-24,838902.8247070312,830975.556640625,834775.4638671875,832050.4174804688
2010-08-25,827820.439453125,814685.439453125,823660.7397460938,818198.5424804688
2010-08-26,824232.3608398438,817153.310546875,823991.806640625,823849.443359375
2010-08-27,834511.875,814967.5463867188,815060.9497070312,831673.0102539062
2010-08-30,858464.7680664062,843402.9858398438,845584.1430664062,846306.5283203125
2010-08-31,833273.3325195312,815781.5283203125,832388.9819335938,816225.5102539062
2010-09-01,826223.9111328125,813671.6430664062,817082.12890625,825749.306640625
2010-09-02,840211.7358398438,828689.8852539062,838939.8608398438,838312.685546875
